=== Custom ViT Classification Metrics ===

Training Summary
Total Epochs Run,40
Final Train Loss,0.2852
Final Train Accuracy,0.7282
Best Validation Loss,0.2319
Final Evaluation Accuracy,0.8474

Class,Precision,Recall,F1-Score,Support
no-damage,0.9422,0.9070,0.9243,40951
minor-damage,0.5513,0.5499,0.5506,4755
major-damage,0.4924,0.6372,0.5555,3823
destroyed,0.7090,0.7886,0.7466,3741

Weighted Avg,0.8587,0.8474,0.8520,53270

=== Confusion Matrix ===
Predicted ->,no-damage,minor-damage,major-damage,destroyed
no-damage,37141,1558,1441,811
minor-damage,1136,2615,806,198
major-damage,777,408,2436,202
destroyed,365,162,264,2950
