epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,296.116,0.47212,0.82367,1,0.38684,9.96764e-05,9.96764e-05,0.0801644
2,582.999,0.39017,0.81815,1,0.40374,0.000199628,0.000199628,0.0602644
3,871.304,0.36584,0.8471,1,0.35375,0.000299384,0.000299384,0.0403641
4,1164.84,0.34831,0.83995,1,0.35706,0.000398798,0.000398798,0.0204635
5,1460.74,0.33751,0.84672,1,0.35876,0.000497726,0.000497726,0.000562451
6,1752.25,0.32704,0.8465,1,0.34979,0.000496953,0.000496953,0.000496953
7,2030.55,0.31887,0.85491,1,0.33914,0.000495616,0.000495616,0.000495616
8,2305.14,0.31117,0.83291,1,0.36572,0.000494039,0.000494039,0.000494039
9,2577.44,0.30699,0.84883,1,0.35126,0.000492224,0.000492224,0.000492224
10,2854.95,0.29842,0.85885,1,0.34145,0.000490173,0.000490173,0.000490173
11,3133.05,0.29425,0.85782,1,0.33156,0.000487886,0.000487886,0.000487886
12,3406.6,0.28837,0.86197,1,0.32861,0.000485368,0.000485368,0.000485368
13,3678.12,0.28358,0.86253,1,0.32594,0.00048262,0.00048262,0.00048262
14,3943.36,0.2805,0.85388,1,0.36064,0.000479644,0.000479644,0.000479644
15,4212.67,0.27675,0.86674,1,0.32041,0.000476445,0.000476445,0.000476445
16,4482.64,0.27135,0.84926,1,0.35134,0.000473024,0.000473024,0.000473024
17,4751.85,0.26977,0.85812,1,0.35404,0.000469386,0.000469386,0.000469386
18,5017.27,0.26904,0.85476,1,0.33066,0.000465534,0.000465534,0.000465534
19,5285.81,0.26323,0.86388,1,0.32388,0.000461471,0.000461471,0.000461471
20,5550.71,0.25864,0.86319,1,0.32072,0.000457202,0.000457202,0.000457202
21,5808.61,0.25789,0.85915,1,0.32667,0.000452732,0.000452732,0.000452732
22,6065.65,0.25445,0.86589,1,0.32371,0.000448063,0.000448063,0.000448063
23,6316.67,0.25145,0.86371,1,0.32525,0.000443202,0.000443202,0.000443202
24,6566.87,0.24959,0.86797,1,0.31823,0.000438152,0.000438152,0.000438152
25,6818.06,0.24906,0.86135,1,0.32745,0.00043292,0.00043292,0.00043292
26,7070.48,0.24536,0.86938,1,0.3192,0.000427509,0.000427509,0.000427509
27,7325.96,0.24568,0.87195,1,0.31437,0.000421925,0.000421925,0.000421925
28,7578.38,0.23961,0.86867,1,0.31566,0.000416175,0.000416175,0.000416175
29,7829.66,0.23821,0.86784,1,0.31275,0.000410262,0.000410262,0.000410262
30,8080.26,0.23753,0.87006,1,0.31623,0.000404194,0.000404194,0.000404194
31,8331.28,0.23343,0.87013,1,0.31496,0.000397977,0.000397977,0.000397977
32,8588.73,0.23209,0.8721,1,0.31184,0.000391616,0.000391616,0.000391616
33,8840.76,0.22938,0.87062,1,0.31561,0.000385117,0.000385117,0.000385117
34,9093.34,0.22825,0.87113,1,0.3144,0.000378488,0.000378488,0.000378488
35,9346.15,0.22411,0.87055,1,0.31196,0.000371734,0.000371734,0.000371734
36,9596.4,0.22245,0.87111,1,0.31595,0.000364863,0.000364863,0.000364863
37,9855.84,0.22111,0.87177,1,0.31416,0.00035788,0.00035788,0.00035788
38,10107.2,0.22001,0.87192,1,0.31386,0.000350794,0.000350794,0.000350794
39,10358.7,0.21837,0.8718,1,0.31901,0.000343611,0.000343611,0.000343611
40,10610.3,0.21543,0.87212,1,0.32324,0.000336338,0.000336338,0.000336338
41,10860.5,0.21628,0.87152,1,0.32695,0.000328982,0.000328982,0.000328982
42,11110.6,0.21269,0.87274,1,0.31586,0.00032155,0.00032155,0.00032155
43,11360.7,0.21099,0.87271,1,0.31588,0.000314051,0.000314051,0.000314051
44,11614.6,0.20814,0.87302,1,0.31549,0.00030649,0.00030649,0.00030649
45,11867.7,0.20573,0.87263,1,0.31627,0.000298877,0.000298877,0.000298877
46,12120,0.20329,0.87225,1,0.31695,0.000291218,0.000291218,0.000291218
47,12373.4,0.20391,0.87186,1,0.31976,0.00028352,0.00028352,0.00028352
48,12628.2,0.20028,0.8716,1,0.31709,0.000275792,0.000275792,0.000275792
49,12882.9,0.1989,0.8715,1,0.32373,0.000268041,0.000268041,0.000268041
50,13138.4,0.19649,0.87107,1,0.32479,0.000260274,0.000260274,0.000260274
51,13392.9,0.19447,0.87092,1,0.33085,0.0002525,0.0002525,0.0002525
52,13647,0.19268,0.87096,1,0.32055,0.000244726,0.000244726,0.000244726
53,13920.1,0.1907,0.87077,1,0.32072,0.000236959,0.000236959,0.000236959
54,14191,0.1866,0.87073,1,0.31922,0.000229208,0.000229208,0.000229208
55,14462.6,0.18712,0.87072,1,0.32365,0.00022148,0.00022148,0.00022148
56,14725.8,0.18501,0.871,1,0.32415,0.000213782,0.000213782,0.000213782
57,14985.1,0.18088,0.87083,1,0.32786,0.000206123,0.000206123,0.000206123
58,15243.5,0.18254,0.8709,1,0.32166,0.00019851,0.00019851,0.00019851
59,15503.5,0.17659,0.87087,1,0.32718,0.000190949,0.000190949,0.000190949
60,15766.1,0.1738,0.87098,1,0.32579,0.00018345,0.00018345,0.00018345
61,16029.8,0.17474,0.871,1,0.32676,0.000176018,0.000176018,0.000176018
62,16295.9,0.17013,0.871,1,0.32405,0.000168662,0.000168662,0.000168662
63,16563.9,0.16896,0.87075,1,0.33169,0.000161389,0.000161389,0.000161389
64,16834.3,0.16631,0.87073,1,0.33317,0.000154206,0.000154206,0.000154206
