epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,632.349,0.46459,0.83161,1,0.37648,9.98382e-05,9.98382e-05,0.0801322
2,1247.25,0.39586,0.80681,1,0.45785,0.000199789,0.000199789,0.0602322
3,1855.98,0.37164,0.82974,1,0.37955,0.000299545,0.000299545,0.0403319
4,2449.95,0.35603,0.849,1,0.33427,0.00039896,0.00039896,0.0204313
5,3056.17,0.34212,0.85733,1,0.32547,0.000497887,0.000497887,0.00053025
6,3651.18,0.33237,0.84763,1,0.34111,0.000496953,0.000496953,0.000496953
7,4263.73,0.32097,0.81637,1,0.40326,0.000495616,0.000495616,0.000495616
8,4872.52,0.31248,0.86009,1,0.31831,0.000494039,0.000494039,0.000494039
9,5486.75,0.30781,0.86341,1,0.31335,0.000492224,0.000492224,0.000492224
10,6095.75,0.3003,0.86339,1,0.31315,0.000490173,0.000490173,0.000490173
11,6728.98,0.29507,0.86792,1,0.30571,0.000487886,0.000487886,0.000487886
12,7400.57,0.28952,0.86841,1,0.30371,0.000485368,0.000485368,0.000485368
13,8053.97,0.28591,0.87115,1,0.30222,0.00048262,0.00048262,0.00048262
14,8717.2,0.27966,0.86747,1,0.30504,0.000479644,0.000479644,0.000479644
15,9348.31,0.27706,0.87231,1,0.30141,0.000476445,0.000476445,0.000476445
16,9960.97,0.27384,0.87047,1,0.30191,0.000473024,0.000473024,0.000473024
17,10551.7,0.26856,0.87085,1,0.3013,0.000469386,0.000469386,0.000469386
18,11138.6,0.26344,0.87184,1,0.29997,0.000465534,0.000465534,0.000465534
19,11724.6,0.26163,0.87137,1,0.30234,0.000461471,0.000461471,0.000461471
20,12311.2,0.26007,0.87115,1,0.30012,0.000457202,0.000457202,0.000457202
21,12914.3,0.25573,0.87154,1,0.30254,0.000452732,0.000452732,0.000452732
22,13528.9,0.25318,0.87165,1,0.30144,0.000448063,0.000448063,0.000448063
23,14131,0.25162,0.87261,1,0.30199,0.000443202,0.000443202,0.000443202
24,14723.6,0.24851,0.87293,1,0.30113,0.000438152,0.000438152,0.000438152
25,15311.7,0.24513,0.87272,1,0.30327,0.00043292,0.00043292,0.00043292
26,15909.7,0.24209,0.87246,1,0.30246,0.000427509,0.000427509,0.000427509
27,16500.2,0.24028,0.87231,1,0.30182,0.000421925,0.000421925,0.000421925
28,17088.4,0.23709,0.87254,1,0.30265,0.000416175,0.000416175,0.000416175
29,17677,0.23703,0.87195,1,0.30232,0.000410262,0.000410262,0.000410262
30,18266,0.2337,0.87218,1,0.30449,0.000404194,0.000404194,0.000404194
31,18856.9,0.231,0.87244,1,0.30229,0.000397977,0.000397977,0.000397977
32,19447.8,0.22786,0.87246,1,0.3021,0.000391616,0.000391616,0.000391616
33,20038.1,0.22643,0.87246,1,0.30296,0.000385117,0.000385117,0.000385117
34,20627.6,0.22478,0.87214,1,0.30458,0.000378488,0.000378488,0.000378488
35,21217.5,0.22133,0.87212,1,0.30311,0.000371734,0.000371734,0.000371734
36,21808,0.21767,0.8721,1,0.30313,0.000364863,0.000364863,0.000364863
37,22399.1,0.21735,0.8719,1,0.30316,0.00035788,0.00035788,0.00035788
38,22990.5,0.21558,0.87225,1,0.30523,0.000350794,0.000350794,0.000350794
39,23581.8,0.21432,0.87233,1,0.30718,0.000343611,0.000343611,0.000343611
40,24172,0.21144,0.87242,1,0.30773,0.000336338,0.000336338,0.000336338
41,24763.9,0.2101,0.87225,1,0.30851,0.000328982,0.000328982,0.000328982
42,25354.8,0.21009,0.87224,1,0.30577,0.00032155,0.00032155,0.00032155
43,25945.8,0.20485,0.87233,1,0.3068,0.000314051,0.000314051,0.000314051
44,26536.3,0.20307,0.87246,1,0.30719,0.00030649,0.00030649,0.00030649
