epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,205.929,0.46476,0.83952,1,0.36261,0.00999191,0.00333064,0.00999191,0.00333064,0.00999191,0.00333064,0.00999191,0.00333064
2,410.035,0.38078,0.79534,1,0.43769,0.019794,0.006598,0.019794,0.006598,0.019794,0.006598,0.019794,0.006598
3,633.47,0.37203,0.86099,1,0.32516,0.0293981,0.00979936,0.0293981,0.00979936,0.0293981,0.00979936,0.0293981,0.00979936
4,847.049,0.37664,0.85117,1,0.33303,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1062.59,0.36033,0.89014,1,0.26384,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1269.4,0.35244,0.89309,1,0.25399,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1469.16,0.34784,0.89121,1,0.26382,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1672.48,0.34475,0.8883,1,0.26586,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1876.87,0.342,0.897,1,0.25441,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2070.66,0.34089,0.89681,1,0.25338,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2263.53,0.34035,0.89549,1,0.25818,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2457.34,0.3373,0.89506,1,0.2578,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2647.16,0.33402,0.89343,1,0.26071,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2837.67,0.33072,0.89506,1,0.25879,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3046,0.33122,0.89397,1,0.26008,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3245.09,0.32968,0.89302,1,0.2614,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3457.38,0.32838,0.89105,1,0.26465,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3664.31,0.32826,0.88876,1,0.26806,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3858.75,0.328,0.88648,1,0.27179,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4077.82,0.32375,0.88498,1,0.27335,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4285.24,0.32216,0.88376,1,0.276,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4482.1,0.3208,0.88309,1,0.27606,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4681.88,0.31989,0.88224,1,0.27756,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4881.29,0.31926,0.88029,1,0.28118,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
