epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,215.512,0.73938,0.826,1,0.49552,0.00998382,0.00332794,0.00998382,0.00332794,0.00998382,0.00332794,0.00998382,0.00332794
2,434.101,0.5055,0.85037,1,0.42439,0.0195881,0.00652938,0.0195881,0.00652938,0.0195881,0.00652938,0.0195881,0.00652938
3,651.686,0.45388,0.84515,1,0.46737,0.0287965,0.00959882,0.0287965,0.00959882,0.0287965,0.00959882,0.0287965,0.00959882
4,871.374,0.44506,0.87025,1,0.37842,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1098.38,0.42654,0.86476,1,0.38892,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1323.3,0.42172,0.87073,1,0.37706,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1545.09,0.41475,0.85722,1,0.42098,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1766.26,0.41409,0.87678,1,0.35844,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1976.35,0.41296,0.87961,1,0.34845,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2183.63,0.41084,0.88096,1,0.34441,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2391.65,0.409,0.88395,1,0.33689,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2598.54,0.40483,0.88402,1,0.33777,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2806.76,0.40164,0.88307,1,0.33575,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3013.96,0.40126,0.88618,1,0.32949,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3222.31,0.39807,0.88628,1,0.32592,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3435.85,0.39504,0.88782,1,0.32502,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3643.14,0.39167,0.8863,1,0.32158,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3851.6,0.38924,0.88716,1,0.32278,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4058.45,0.38562,0.88778,1,0.32098,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4264.91,0.3834,0.88936,1,0.319,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4472.29,0.38039,0.88926,1,0.31905,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4680.29,0.37636,0.8899,1,0.31917,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4888.53,0.37422,0.88969,1,0.3243,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5095.24,0.37154,0.89007,1,0.32165,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5302.48,0.36564,0.8905,1,0.32244,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5511.44,0.36485,0.89071,1,0.32363,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5718.23,0.35992,0.89065,1,0.32334,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5925,0.35575,0.89056,1,0.32342,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6131.98,0.35297,0.89067,1,0.32256,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6339.58,0.34912,0.89099,1,0.32198,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6547.53,0.34612,0.8909,1,0.32377,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6754.62,0.33954,0.89084,1,0.32436,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6965.91,0.33539,0.89093,1,0.32736,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7172.47,0.33132,0.89088,1,0.32548,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7379.44,0.32617,0.8911,1,0.32811,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7587.33,0.31925,0.89131,1,0.32414,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7794.55,0.31494,0.89133,1,0.32731,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8001.14,0.30885,0.89133,1,0.32646,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8208.85,0.30273,0.89142,1,0.32783,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8416.2,0.29457,0.89135,1,0.32645,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8629.43,0.28781,0.89142,1,0.32764,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8837.6,0.27922,0.89167,1,0.32933,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9044.88,0.2715,0.89168,1,0.32685,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9252.88,0.26131,0.8918,1,0.32899,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9460.2,0.24974,0.89208,1,0.33074,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9668.03,0.23666,0.89212,1,0.33231,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,9875.86,0.22332,0.89223,1,0.33208,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,10083.5,0.20862,0.89228,1,0.33268,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10291.9,0.19133,0.89242,1,0.33849,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,10499.7,0.17656,0.89238,1,0.34104,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
