epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,192.854,0.74491,0.82484,1,0.50819,0.00998382,0.00332794,0.00998382,0.00332794,0.00998382,0.00332794,0.00998382,0.00332794
2,384.204,0.5475,0.84458,1,0.44889,0.019786,0.00659533,0.019786,0.00659533,0.019786,0.00659533,0.019786,0.00659533
3,571.861,0.50816,0.81862,1,0.54106,0.0293901,0.00979671,0.0293901,0.00979671,0.0293901,0.00979671,0.0293901,0.00979671
4,758.049,0.50769,0.84757,1,0.44237,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,947.746,0.48944,0.83788,1,0.46197,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1134.61,0.48287,0.84278,1,0.45966,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1321.07,0.47992,0.84941,1,0.42562,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1509.34,0.47746,0.8651,1,0.39568,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1700.82,0.47679,0.86291,1,0.38784,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1891.68,0.47427,0.86801,1,0.37121,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2077.8,0.47363,0.87117,1,0.3721,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2264.31,0.47041,0.87571,1,0.35934,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2450.81,0.4713,0.87813,1,0.36,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2637.26,0.46713,0.87347,1,0.36525,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2823.73,0.46688,0.87806,1,0.34996,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3009.92,0.46339,0.87225,1,0.36496,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3199.41,0.46133,0.8746,1,0.35511,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3386.06,0.46116,0.87406,1,0.35867,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3572.64,0.45792,0.87111,1,0.36192,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3758.99,0.4586,0.8719,1,0.35934,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3945.42,0.45615,0.86961,1,0.36543,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4135.23,0.45605,0.87117,1,0.36197,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4321.78,0.45257,0.86993,1,0.36872,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4508.23,0.45228,0.86921,1,0.36715,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4694.57,0.44991,0.86987,1,0.36572,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4881.12,0.45003,0.86859,1,0.37086,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5067.73,0.44766,0.8672,1,0.37292,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5254.59,0.44753,0.8651,1,0.37806,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
