epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,159.245,0.69105,0.82596,1,0.49395,0.00999191,0.00333064,0.00999191,0.00333064,0.00999191,0.00333064,0.00999191,0.00333064
2,311.574,0.55016,0.80738,1,0.55021,0.019794,0.006598,0.019794,0.006598,0.019794,0.006598,0.019794,0.006598
3,465.905,0.54442,0.83741,1,0.47708,0.0293981,0.00979936,0.0293981,0.00979936,0.0293981,0.00979936,0.0293981,0.00979936
4,626.303,0.54546,0.85328,1,0.41704,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,783.133,0.52102,0.86114,1,0.39354,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,945.269,0.5096,0.86854,1,0.37691,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1101.7,0.50243,0.87239,1,0.36426,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1259.12,0.49716,0.87267,1,0.36745,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1416.02,0.49559,0.8715,1,0.36577,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1573.24,0.49079,0.8728,1,0.36301,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1730.44,0.48788,0.87317,1,0.36445,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1888.06,0.4865,0.87289,1,0.36602,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2045.64,0.48395,0.87271,1,0.36516,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2202.82,0.48267,0.87227,1,0.36656,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2359.97,0.47946,0.87126,1,0.36729,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2534.24,0.47627,0.87186,1,0.36969,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2691.15,0.47454,0.87085,1,0.36752,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2848.53,0.47213,0.86978,1,0.3712,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3005.9,0.4702,0.86796,1,0.37315,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3163.75,0.46999,0.86595,1,0.3762,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3320.92,0.46571,0.8645,1,0.3791,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3482.93,0.4639,0.86353,1,0.38296,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3640.42,0.46198,0.86223,1,0.38731,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3797.6,0.46196,0.86112,1,0.38953,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3960.07,0.46054,0.86047,1,0.39067,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4122,0.45763,0.85913,1,0.39412,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
