epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8531,2.43268,2.04852,1.3014,0.20052,0.20964,0.09058,0.03186,2.31553,1.82109,1.23019,0.00041502,0.00041502,0.00041502
2,63.698,2.30154,1.72628,1.24302,0.36678,0.26821,0.18623,0.06893,2.20019,1.57395,1.23677,0.000823453,0.000823453,0.000823453
3,92.9226,2.31841,1.69056,1.2322,0.34953,0.28367,0.18812,0.07158,2.18721,1.54246,1.22312,0.00122364,0.00122364,0.00122364
4,121.467,2.28665,1.62835,1.22412,0.32586,0.27677,0.17387,0.06671,2.19459,1.56645,1.20787,0.00121287,0.00121287,0.00121287
5,150.096,2.25837,1.58514,1.22062,0.34497,0.31237,0.2107,0.08221,2.15777,1.5579,1.19969,0.0012005,0.0012005,0.0012005
6,179.509,2.2631,1.56802,1.20759,0.35032,0.29707,0.22152,0.08617,2.14885,1.49536,1.19795,0.00118812,0.00118812,0.00118812
7,211.413,2.22399,1.53571,1.20363,0.41154,0.32084,0.23443,0.0949,2.12662,1.46345,1.19326,0.00117575,0.00117575,0.00117575
8,242.33,2.22648,1.52267,1.19917,0.38192,0.29295,0.23818,0.09652,2.10819,1.44879,1.1873,0.00116337,0.00116337,0.00116337
9,272.557,2.23894,1.54473,1.20044,0.45197,0.31537,0.25704,0.10586,2.10709,1.40896,1.17287,0.001151,0.001151,0.001151
10,303.851,2.1837,1.47682,1.18156,0.47423,0.32515,0.26003,0.10623,2.0735,1.40229,1.17444,0.00113863,0.00113863,0.00113863
11,330.406,2.16702,1.61788,1.17925,0.41148,0.32937,0.26617,0.10749,2.08228,1.40863,1.17027,0.00112625,0.00112625,0.00112625
12,357.169,2.1782,1.45165,1.1818,0.46961,0.32403,0.26248,0.11022,2.08578,1.38566,1.16037,0.00111388,0.00111388,0.00111388
13,387.447,2.18003,1.4331,1.17732,0.48465,0.3187,0.2625,0.10603,2.12805,1.37864,1.18042,0.0011015,0.0011015,0.0011015
14,414.107,2.16836,1.44753,1.17199,0.47298,0.31644,0.26614,0.11122,2.05718,1.37794,1.15429,0.00108913,0.00108913,0.00108913
15,440.788,2.18113,1.44378,1.17034,0.40612,0.34428,0.27505,0.11357,2.09132,1.35466,1.16221,0.00107675,0.00107675,0.00107675
16,467.512,2.15262,1.42178,1.16253,0.39209,0.32682,0.26948,0.11293,2.05825,1.36287,1.14596,0.00106437,0.00106437,0.00106437
17,499.858,2.15947,1.4057,1.16296,0.45546,0.34512,0.2995,0.12481,2.07989,1.34317,1.15505,0.001052,0.001052,0.001052
18,526.666,2.15607,1.40111,1.16415,0.46506,0.3297,0.27267,0.11331,2.0791,1.38014,1.16063,0.00103962,0.00103962,0.00103962
19,553.11,2.14034,1.382,1.16709,0.46029,0.32495,0.26897,0.11329,2.0706,1.33207,1.15427,0.00102725,0.00102725,0.00102725
20,583.162,2.13707,1.39361,1.15736,0.46163,0.33418,0.29528,0.12739,2.01761,1.31724,1.14582,0.00101488,0.00101488,0.00101488
21,612.297,2.12023,1.47856,1.15681,0.50204,0.34827,0.30918,0.13258,2.03539,1.2877,1.14652,0.0010025,0.0010025,0.0010025
22,641.698,2.11586,1.36287,1.15543,0.44932,0.31234,0.25878,0.10922,2.03346,1.35414,1.14626,0.000990125,0.000990125,0.000990125
23,675.743,2.11528,1.3447,1.15198,0.49312,0.32656,0.2832,0.12079,2.04091,1.33991,1.15143,0.00097775,0.00097775,0.00097775
24,705.283,2.1003,1.34668,1.14686,0.47362,0.32747,0.26783,0.11193,2.04772,1.35783,1.14941,0.000965375,0.000965375,0.000965375
25,733.523,2.08506,1.33517,1.14957,0.4789,0.36158,0.30768,0.13017,2.02655,1.27445,1.13887,0.000953,0.000953,0.000953
26,759.853,2.1091,1.33718,1.1415,0.47272,0.3699,0.31368,0.13746,2.00813,1.26161,1.14607,0.000940625,0.000940625,0.000940625
27,786.218,2.13045,1.35408,1.15091,0.47823,0.3558,0.30917,0.13121,2.03368,1.28144,1.14557,0.00092825,0.00092825,0.00092825
28,811.817,2.0747,1.32828,1.14039,0.49897,0.35279,0.30262,0.12844,2.06901,1.29387,1.15312,0.000915875,0.000915875,0.000915875
29,837.822,2.09053,1.31541,1.14391,0.51731,0.35624,0.31559,0.13474,2.01798,1.28492,1.14382,0.0009035,0.0009035,0.0009035
30,868.82,2.1277,1.33325,1.14539,0.51357,0.36831,0.31947,0.13308,2.0469,1.2625,1.15347,0.000891125,0.000891125,0.000891125
31,895.301,2.08562,1.32215,1.14475,0.52509,0.36809,0.32399,0.13849,2.00987,1.26607,1.14247,0.00087875,0.00087875,0.00087875
32,922.651,2.07889,1.30795,1.13951,0.49976,0.36916,0.3214,0.13838,2.01338,1.27995,1.13709,0.000866375,0.000866375,0.000866375
33,951.996,2.08241,1.31028,1.14113,0.51614,0.36808,0.32299,0.14013,2.0109,1.24731,1.13637,0.000854,0.000854,0.000854
34,981.042,2.04844,1.28091,1.12894,0.50404,0.3564,0.30524,0.13351,2.00985,1.25561,1.13622,0.000841625,0.000841625,0.000841625
35,1154.62,2.1053,1.29547,1.1343,0.53567,0.36482,0.33146,0.14549,1.99091,1.23034,1.12762,0.00082925,0.00082925,0.00082925
36,1183.92,2.087,1.30853,1.13679,0.51197,0.34772,0.31113,0.1316,2.02032,1.26363,1.13548,0.000816875,0.000816875,0.000816875
37,1213.45,2.07107,1.28161,1.13046,0.46509,0.3572,0.30187,0.13005,2.01279,1.2835,1.13747,0.0008045,0.0008045,0.0008045
38,1245.59,2.05526,1.27893,1.1197,0.50826,0.35982,0.3203,0.13848,1.99259,1.24396,1.13293,0.000792125,0.000792125,0.000792125
39,1275.31,2.05244,1.27652,1.13122,0.52209,0.35938,0.33133,0.14555,1.98916,1.24527,1.12967,0.00077975,0.00077975,0.00077975
40,1304.74,2.0586,1.28838,1.13089,0.51873,0.35843,0.32077,0.13852,2.00468,1.25815,1.13744,0.000767375,0.000767375,0.000767375
41,1334.1,2.04028,1.27729,1.12965,0.54738,0.36082,0.32829,0.14194,1.97943,1.2344,1.1275,0.000755,0.000755,0.000755
42,1367.98,2.06779,1.29837,1.13454,0.49509,0.36922,0.32546,0.1418,1.9917,1.26438,1.13376,0.000742625,0.000742625,0.000742625
43,1416.93,2.01961,1.26513,1.12074,0.5224,0.36284,0.32785,0.1443,1.98532,1.22039,1.12536,0.00073025,0.00073025,0.00073025
44,1452.34,2.02816,1.25855,1.12356,0.5009,0.34869,0.30525,0.13259,2.0078,1.23625,1.13261,0.000717875,0.000717875,0.000717875
45,1484.67,2.02395,1.24351,1.11947,0.53786,0.37407,0.34254,0.15223,1.9657,1.22337,1.12408,0.0007055,0.0007055,0.0007055
46,1526.41,2.04251,1.2485,1.11302,0.53273,0.37286,0.33524,0.14529,1.9993,1.22122,1.13688,0.000693125,0.000693125,0.000693125
47,1560.83,2.0278,1.24113,1.12336,0.48728,0.36791,0.32489,0.14501,1.96041,1.23242,1.12458,0.00068075,0.00068075,0.00068075
48,1593.16,2.01998,1.23732,1.12115,0.52314,0.37482,0.33193,0.14827,1.95675,1.21441,1.12849,0.000668375,0.000668375,0.000668375
49,1625.76,2.01443,1.24336,1.12668,0.52886,0.37586,0.34028,0.15072,1.96835,1.21953,1.12228,0.000656,0.000656,0.000656
50,1659.32,2.00831,1.23131,1.11567,0.53482,0.37962,0.34112,0.14991,1.97513,1.20136,1.12589,0.000643625,0.000643625,0.000643625
51,1690.94,2.01063,1.23435,1.11463,0.53472,0.37702,0.33903,0.1503,1.96875,1.22185,1.12039,0.00063125,0.00063125,0.00063125
52,1724.09,2.00429,1.22639,1.11667,0.50724,0.37652,0.34094,0.14863,1.98401,1.20295,1.12933,0.000618875,0.000618875,0.000618875
53,1757.41,2.03025,1.24415,1.11891,0.5422,0.3659,0.33289,0.14839,1.96713,1.21018,1.12179,0.0006065,0.0006065,0.0006065
54,1791.57,2.00591,1.23424,1.11226,0.51231,0.36767,0.32472,0.14527,1.95735,1.21214,1.12942,0.000594125,0.000594125,0.000594125
55,1821.64,1.9867,1.21478,1.10684,0.53063,0.36573,0.33522,0.14974,1.96835,1.20434,1.12915,0.00058175,0.00058175,0.00058175
56,1851.19,1.97804,1.20299,1.10489,0.5253,0.3817,0.35099,0.15488,1.97982,1.19,1.13194,0.000569375,0.000569375,0.000569375
57,1880.92,2.01021,1.22071,1.10843,0.5498,0.37623,0.3492,0.15581,1.95655,1.18782,1.12219,0.000557,0.000557,0.000557
58,1910.2,1.9731,1.20995,1.10666,0.56267,0.37557,0.34191,0.15244,1.98096,1.19465,1.12894,0.000544625,0.000544625,0.000544625
59,1940.32,1.98646,1.1929,1.11163,0.51501,0.37263,0.34205,0.15252,1.96996,1.19431,1.1207,0.00053225,0.00053225,0.00053225
60,1969.93,1.98029,1.20884,1.10715,0.55315,0.37232,0.34175,0.15233,1.9546,1.18973,1.11753,0.000519875,0.000519875,0.000519875
61,2000.36,1.97844,1.17967,1.09622,0.53037,0.38827,0.34844,0.15707,1.9484,1.17909,1.12141,0.0005075,0.0005075,0.0005075
62,2033.14,2.00357,1.22385,1.10583,0.54679,0.37607,0.34333,0.15402,1.9691,1.18921,1.12461,0.000495125,0.000495125,0.000495125
63,2062.54,1.97138,1.20114,1.10054,0.55788,0.38602,0.35168,0.15604,1.96485,1.18655,1.12226,0.00048275,0.00048275,0.00048275
64,2092.47,1.96847,1.18006,1.09864,0.55717,0.37428,0.3478,0.15608,1.94827,1.18351,1.11424,0.000470375,0.000470375,0.000470375
65,2121.92,1.96188,1.19031,1.09904,0.5346,0.36959,0.34405,0.15304,1.96425,1.18766,1.11989,0.000458,0.000458,0.000458
66,2151.51,1.97159,1.19649,1.1049,0.54079,0.36647,0.33419,0.15043,1.97735,1.20423,1.12379,0.000445625,0.000445625,0.000445625
67,2197.69,1.97067,1.17707,1.10128,0.53786,0.36992,0.33947,0.15477,1.95,1.20007,1.11649,0.00043325,0.00043325,0.00043325
68,2227.67,1.98266,1.19913,1.10398,0.55184,0.37161,0.34206,0.15199,1.95904,1.19061,1.12041,0.000420875,0.000420875,0.000420875
69,2257.43,1.95722,1.16417,1.09909,0.54335,0.37818,0.34537,0.15759,1.93877,1.17727,1.11591,0.0004085,0.0004085,0.0004085
70,2286.96,1.9422,1.16268,1.09683,0.55807,0.38886,0.35511,0.16088,1.94983,1.17421,1.11787,0.000396125,0.000396125,0.000396125
71,2448.05,1.97468,1.17326,1.10343,0.56583,0.37988,0.34918,0.15642,1.93686,1.16295,1.11757,0.00038375,0.00038375,0.00038375
72,2477.62,1.96322,1.1599,1.09698,0.55987,0.38714,0.35363,0.16005,1.94756,1.16315,1.11417,0.000371375,0.000371375,0.000371375
73,2507.01,1.95047,1.1923,1.09403,0.55619,0.38632,0.35659,0.15988,1.95417,1.16058,1.12008,0.000359,0.000359,0.000359
74,2536.35,1.91411,1.14998,1.0916,0.55876,0.38339,0.3502,0.15854,1.92958,1.16715,1.11163,0.000346625,0.000346625,0.000346625
75,2569.7,1.95561,1.16013,1.08913,0.5279,0.38852,0.3555,0.16063,1.9394,1.16541,1.10899,0.00033425,0.00033425,0.00033425
76,2603.13,1.95348,1.15949,1.08906,0.54079,0.38618,0.34837,0.15659,1.93196,1.16316,1.11306,0.000321875,0.000321875,0.000321875
77,2637.32,1.934,1.13571,1.08406,0.54497,0.38633,0.34911,0.15646,1.94084,1.16938,1.11381,0.0003095,0.0003095,0.0003095
78,3507.89,1.96163,1.14992,1.09042,0.56966,0.38295,0.35517,0.15996,1.93537,1.1622,1.11472,0.000297125,0.000297125,0.000297125
79,3538.54,1.91756,1.14135,1.08998,0.54303,0.38656,0.35256,0.15881,1.94592,1.1726,1.11624,0.00028475,0.00028475,0.00028475
80,3570.04,1.92975,1.13512,1.08454,0.54047,0.38574,0.35702,0.16034,1.93043,1.16079,1.11098,0.000272375,0.000272375,0.000272375
81,3600.98,1.93074,1.1444,1.08886,0.56107,0.38458,0.35993,0.16182,1.93372,1.15468,1.11579,0.00026,0.00026,0.00026
82,3634.58,1.93004,1.12911,1.08557,0.54614,0.38078,0.35112,0.15645,1.94903,1.16553,1.11925,0.000247625,0.000247625,0.000247625
83,3663.7,1.91527,1.1239,1.08369,0.54539,0.39036,0.35375,0.15979,1.93753,1.1582,1.11594,0.00023525,0.00023525,0.00023525
84,3692.76,1.92562,1.13143,1.08682,0.53822,0.38182,0.35079,0.15823,1.93705,1.16241,1.11544,0.000222875,0.000222875,0.000222875
85,3733.56,1.9233,1.12436,1.08684,0.56301,0.38429,0.35112,0.15805,1.92631,1.1601,1.10891,0.0002105,0.0002105,0.0002105
86,3772.43,1.92006,1.1219,1.08399,0.53969,0.38266,0.35519,0.16088,1.93604,1.153,1.11431,0.000198125,0.000198125,0.000198125
87,3809.6,1.92349,1.12045,1.08218,0.5551,0.38487,0.35313,0.15916,1.93205,1.15798,1.11548,0.00018575,0.00018575,0.00018575
88,3842.76,1.90441,1.11655,1.08378,0.54466,0.38263,0.35301,0.16038,1.91667,1.15614,1.10862,0.000173375,0.000173375,0.000173375
