epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.367,2.33527,2.05706,1.67183,0.5542,0.37624,0.35943,0.13888,2.23257,1.80334,1.54122,0.000665344,0.000665344,0.000665344
2,168.229,2.30025,1.86481,1.60255,0.48878,0.35948,0.32125,0.10919,2.39302,1.80626,1.61679,0.00131882,0.00131882,0.00131882
3,232.101,2.25857,1.8026,1.58351,0.49934,0.35425,0.32408,0.10551,2.43622,1.75682,1.67672,0.0019591,0.0019591,0.0019591
4,290.995,2.22005,1.75191,1.57505,0.46575,0.357,0.30179,0.09981,2.33811,1.73861,1.60428,0.0019406,0.0019406,0.0019406
5,402.599,2.23199,1.73663,1.56285,0.55438,0.36928,0.36325,0.14622,2.20126,1.61004,1.49368,0.0019208,0.0019208,0.0019208
6,468.401,2.22006,1.68017,1.5453,0.54009,0.3873,0.36488,0.13176,2.27996,1.62898,1.53906,0.001901,0.001901,0.001901
7,573.414,2.17465,1.65152,1.5223,0.57044,0.38222,0.37986,0.14378,2.22413,1.57266,1.49421,0.0018812,0.0018812,0.0018812
8,634.624,2.16258,1.62491,1.51658,0.56415,0.40338,0.38683,0.15884,2.16567,1.54207,1.42794,0.0018614,0.0018614,0.0018614
9,704.494,2.15436,1.60997,1.51526,0.61638,0.4101,0.41534,0.1659,2.19336,1.48135,1.46912,0.0018416,0.0018416,0.0018416
10,773.115,2.12256,1.53663,1.49059,0.60957,0.39265,0.40738,0.15958,2.21264,1.51696,1.49638,0.0018218,0.0018218,0.0018218
11,835.622,2.10122,1.53144,1.48451,0.58188,0.39239,0.38806,0.14153,2.31123,1.53404,1.54639,0.001802,0.001802,0.001802
12,896.434,2.1186,1.54295,1.48225,0.50994,0.37399,0.34046,0.10405,2.42287,1.63785,1.57564,0.0017822,0.0017822,0.0017822
13,1060.15,2.11876,1.53679,1.48121,0.5816,0.41235,0.41068,0.14926,2.252,1.50409,1.51622,0.0017624,0.0017624,0.0017624
14,1137.54,2.10019,1.50153,1.47693,0.55553,0.38222,0.37367,0.12652,2.36557,1.58454,1.55998,0.0017426,0.0017426,0.0017426
15,1206.14,2.09898,1.5038,1.47364,0.59972,0.40876,0.40678,0.154,2.28656,1.52288,1.51559,0.0017228,0.0017228,0.0017228
16,1325.24,2.10161,1.50813,1.46542,0.58637,0.38566,0.38211,0.13595,2.29353,1.55595,1.51627,0.001703,0.001703,0.001703
17,1401.68,2.08581,1.46655,1.44974,0.5875,0.41385,0.40475,0.13232,2.38878,1.51422,1.55465,0.0016832,0.0016832,0.0016832
18,1654.98,2.08698,1.48746,1.46318,0.61101,0.41729,0.4211,0.14606,2.31991,1.46495,1.52258,0.0016634,0.0016634,0.0016634
19,1740.05,2.07259,1.46029,1.45198,0.58518,0.42223,0.40912,0.13348,2.33434,1.56249,1.5417,0.0016436,0.0016436,0.0016436
20,1801.73,2.06637,1.44383,1.45071,0.59576,0.40757,0.41254,0.14894,2.28595,1.48595,1.51847,0.0016238,0.0016238,0.0016238
21,1883.4,2.07952,1.46568,1.45353,0.62981,0.43946,0.44584,0.1838,2.13512,1.41018,1.42534,0.001604,0.001604,0.001604
22,1939.42,2.06972,1.45423,1.45513,0.62029,0.40084,0.40852,0.13576,2.37364,1.49906,1.56549,0.0015842,0.0015842,0.0015842
23,1993.79,2.04245,1.40887,1.43125,0.63934,0.42626,0.43751,0.17013,2.20543,1.45173,1.42951,0.0015644,0.0015644,0.0015644
24,2049.69,2.073,1.44566,1.44592,0.62865,0.43,0.44108,0.16377,2.23,1.44531,1.46173,0.0015446,0.0015446,0.0015446
25,2113.31,2.03953,1.41961,1.43841,0.61753,0.42372,0.43067,0.14715,2.28964,1.45094,1.48965,0.0015248,0.0015248,0.0015248
26,2171.66,2.06604,1.40792,1.4395,0.65802,0.42462,0.44328,0.17888,2.18152,1.37471,1.42934,0.001505,0.001505,0.001505
27,2233.22,2.05128,1.41363,1.43566,0.6438,0.43509,0.44651,0.17063,2.24174,1.40751,1.44455,0.0014852,0.0014852,0.0014852
28,2293.13,2.04275,1.39133,1.41762,0.66612,0.44758,0.46605,0.18048,2.2026,1.3538,1.44536,0.0014654,0.0014654,0.0014654
29,2359.38,2.03986,1.39967,1.42187,0.67274,0.43733,0.46312,0.19275,2.12202,1.3583,1.39036,0.0014456,0.0014456,0.0014456
30,2419.44,2.03799,1.39773,1.41193,0.60857,0.3778,0.38829,0.16828,2.12898,1.67591,1.43649,0.0014258,0.0014258,0.0014258
31,2512,2.03255,1.38506,1.41682,0.65007,0.44646,0.45892,0.19157,2.12591,1.36445,1.38567,0.001406,0.001406,0.001406
32,2600.95,2.01036,1.3607,1.41291,0.66765,0.44454,0.46463,0.19681,2.09709,1.35989,1.37599,0.0013862,0.0013862,0.0013862
33,2663.21,2.01894,1.36073,1.42085,0.65679,0.43658,0.45812,0.19232,2.12332,1.37033,1.3894,0.0013664,0.0013664,0.0013664
34,2723.81,2.00891,1.37137,1.40054,0.66042,0.46523,0.48284,0.20308,2.08196,1.33052,1.37522,0.0013466,0.0013466,0.0013466
35,2804.37,2.00579,1.35351,1.4063,0.64584,0.44541,0.46356,0.19149,2.11457,1.36414,1.39695,0.0013268,0.0013268,0.0013268
36,2867.07,1.99898,1.34179,1.39831,0.66789,0.45857,0.47633,0.19306,2.15966,1.32175,1.39832,0.001307,0.001307,0.001307
37,2931.76,1.98484,1.32951,1.3946,0.65385,0.45902,0.47542,0.20238,2.08111,1.3107,1.36665,0.0012872,0.0012872,0.0012872
38,2999.73,2.00084,1.34433,1.40037,0.67426,0.46276,0.48439,0.20047,2.12901,1.32716,1.4036,0.0012674,0.0012674,0.0012674
39,3070.73,2.00576,1.35838,1.40004,0.67495,0.46041,0.4827,0.20266,2.11289,1.29635,1.38629,0.0012476,0.0012476,0.0012476
