epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6416,2.30401,1.34768,1.62659,0.16368,0.14184,0.04709,0.01069,2.70346,1.48288,1.79751,0.000415842,0.000415842,0.000415842
2,154.725,2.22486,1.23035,1.58988,0.20236,0.16244,0.09028,0.0275,2.38413,1.36301,1.64635,0.000824266,0.000824266,0.000824266
3,228.726,2.22757,1.20262,1.56778,0.21782,0.16732,0.08212,0.02635,2.47548,1.26755,1.70301,0.00122444,0.00122444,0.00122444
4,320.398,2.20625,1.17542,1.56954,0.23435,0.17558,0.10329,0.03801,2.33077,1.24769,1.52598,0.00121287,0.00121287,0.00121287
5,769.457,2.1788,1.11606,1.54027,0.24242,0.22794,0.12274,0.03617,2.42321,1.27721,1.6462,0.0012005,0.0012005,0.0012005
6,842.723,2.18313,1.14499,1.54782,0.50838,0.18847,0.13659,0.04335,2.36131,1.18708,1.62562,0.00118812,0.00118812,0.00118812
7,926.558,2.17243,1.1322,1.52603,0.51336,0.18566,0.14158,0.05002,2.2989,1.29549,1.51153,0.00117575,0.00117575,0.00117575
8,999.883,2.15914,1.09204,1.52399,0.28658,0.224,0.13171,0.03615,2.50908,1.15875,1.71537,0.00116337,0.00116337,0.00116337
9,1077.53,2.12977,1.07696,1.52395,0.33228,0.25514,0.17767,0.06199,2.37118,1.16586,1.58847,0.001151,0.001151,0.001151
10,1153.67,2.12025,1.07844,1.50186,0.30448,0.25641,0.15981,0.05661,2.23801,1.17187,1.46726,0.00113863,0.00113863,0.00113863
11,1231.26,2.12285,1.07536,1.49712,0.33303,0.29997,0.17833,0.06206,2.29094,1.14572,1.48395,0.00112625,0.00112625,0.00112625
12,1315.94,2.12316,1.07599,1.49146,0.39265,0.28305,0.22097,0.08119,2.23356,1.00755,1.48993,0.00111388,0.00111388,0.00111388
13,1553.64,2.10752,1.05063,1.48678,0.37882,0.2707,0.19022,0.06733,2.27971,1.08943,1.47115,0.0011015,0.0011015,0.0011015
14,1627.15,2.0892,1.01129,1.47343,0.41552,0.27967,0.228,0.0791,2.2537,1.04916,1.487,0.00108913,0.00108913,0.00108913
15,1698.28,2.10661,0.99739,1.47762,0.42433,0.29479,0.23534,0.08743,2.23949,1.01226,1.46906,0.00107675,0.00107675,0.00107675
16,1771.52,2.08595,0.96358,1.45793,0.40564,0.28247,0.22058,0.08476,2.20354,1.01861,1.45874,0.00106437,0.00106437,0.00106437
17,1864.43,2.09512,0.94858,1.47382,0.3972,0.28799,0.21409,0.07428,2.28153,1.03023,1.51523,0.001052,0.001052,0.001052
18,1945.83,2.06667,0.96287,1.45604,0.43607,0.28639,0.23705,0.0906,2.14205,1.00182,1.43665,0.00103962,0.00103962,0.00103962
19,2029.16,2.05824,0.94903,1.46957,0.45314,0.31309,0.26288,0.09923,2.1785,0.97505,1.44553,0.00102725,0.00102725,0.00102725
20,2126.77,2.06599,0.96275,1.45645,0.42873,0.28517,0.23022,0.08805,2.17952,1.03321,1.4433,0.00101488,0.00101488,0.00101488
21,2716.17,2.06517,0.99901,1.44396,0.43249,0.3139,0.23198,0.08702,2.21245,0.99272,1.43586,0.0010025,0.0010025,0.0010025
22,2787.67,2.0667,0.95034,1.45265,0.42762,0.28429,0.22299,0.07978,2.25554,1.02421,1.46731,0.000990125,0.000990125,0.000990125
23,3090.88,2.0413,0.94262,1.44555,0.45971,0.31783,0.24865,0.09083,2.21742,0.96012,1.43063,0.00097775,0.00097775,0.00097775
24,3183.87,2.03559,0.91937,1.42723,0.43376,0.30559,0.25229,0.09191,2.20424,0.99105,1.44775,0.000965375,0.000965375,0.000965375
25,3276.68,2.04685,0.92312,1.43368,0.43393,0.31077,0.2542,0.09662,2.1838,0.9711,1.42057,0.000953,0.000953,0.000953
26,3346.5,2.05271,0.94934,1.43706,0.42936,0.31997,0.26093,0.10372,2.12192,0.94799,1.38392,0.000940625,0.000940625,0.000940625
27,3420.35,2.04007,0.88434,1.43759,0.44615,0.31285,0.25711,0.09887,2.16368,0.96978,1.40714,0.00092825,0.00092825,0.00092825
28,3528.23,2.04411,0.92803,1.42328,0.47567,0.31776,0.25771,0.10043,2.15511,0.9676,1.3822,0.000915875,0.000915875,0.000915875
29,3826.67,2.03332,0.92681,1.42722,0.48749,0.34213,0.28053,0.11026,2.14631,0.90761,1.40311,0.0009035,0.0009035,0.0009035
30,3900.8,2.03728,0.89233,1.41678,0.44662,0.31312,0.258,0.10042,2.17408,0.93617,1.40464,0.000891125,0.000891125,0.000891125
31,4260.45,2.03072,0.92934,1.43017,0.47563,0.32765,0.26625,0.10607,2.11218,0.95908,1.38646,0.00087875,0.00087875,0.00087875
32,4333.08,2.03038,0.85325,1.42101,0.45252,0.32387,0.26234,0.10119,2.1737,0.94268,1.41239,0.000866375,0.000866375,0.000866375
33,4417.17,2.03091,0.89707,1.42626,0.47553,0.31164,0.27099,0.10253,2.22287,0.91618,1.43687,0.000854,0.000854,0.000854
34,4495.86,2.01646,0.91542,1.41678,0.47973,0.33772,0.28542,0.11291,2.1366,0.91755,1.38818,0.000841625,0.000841625,0.000841625
35,4567.77,2.0014,0.85334,1.40695,0.48154,0.34893,0.28842,0.11307,2.17563,0.88397,1.42049,0.00082925,0.00082925,0.00082925
36,4638.57,2.00081,0.87802,1.4013,0.47044,0.34403,0.29343,0.11733,2.11939,0.89436,1.38585,0.000816875,0.000816875,0.000816875
37,4711.55,2.01001,0.8622,1.41116,0.49484,0.34669,0.29558,0.11521,2.14668,0.89047,1.38001,0.0008045,0.0008045,0.0008045
38,4787.29,1.98488,0.84643,1.38888,0.50676,0.33261,0.2873,0.11635,2.11285,0.89916,1.38218,0.000792125,0.000792125,0.000792125
39,4998.74,2.00025,0.8621,1.40826,0.48121,0.32942,0.27641,0.11113,2.14612,0.91963,1.39059,0.00077975,0.00077975,0.00077975
40,5079.08,1.98517,0.88937,1.3965,0.46896,0.34061,0.28539,0.11746,2.11008,0.89945,1.3781,0.000767375,0.000767375,0.000767375
41,5261,1.99552,0.84817,1.40233,0.48604,0.34833,0.29806,0.11514,2.18803,0.86206,1.42243,0.000755,0.000755,0.000755
42,5340.48,2.01203,0.89315,1.41391,0.46533,0.32438,0.28025,0.11205,2.13715,0.92765,1.38277,0.000742625,0.000742625,0.000742625
43,5731.12,1.98658,0.85695,1.38813,0.44736,0.32632,0.26891,0.1041,2.23791,0.9346,1.42161,0.00073025,0.00073025,0.00073025
44,5800.04,1.99087,0.85987,1.40628,0.50682,0.34949,0.29836,0.12084,2.14594,0.87776,1.39014,0.000717875,0.000717875,0.000717875
45,5872.74,1.98059,0.8276,1.39556,0.4796,0.36416,0.30221,0.11576,2.17245,0.87618,1.40971,0.0007055,0.0007055,0.0007055
46,5960.14,1.98481,0.85136,1.38751,0.48575,0.35756,0.30458,0.12654,2.09072,0.88162,1.34942,0.000693125,0.000693125,0.000693125
47,6034.04,2.00051,0.82994,1.39957,0.51739,0.35702,0.31443,0.12867,2.10947,0.86455,1.36803,0.00068075,0.00068075,0.00068075
48,6155.65,1.97639,0.81642,1.38629,0.47752,0.34287,0.29589,0.11321,2.20314,0.861,1.4211,0.000668375,0.000668375,0.000668375
49,6226.37,1.99063,0.86241,1.39557,0.50492,0.35411,0.31561,0.12928,2.1075,0.87247,1.36372,0.000656,0.000656,0.000656
50,6602.07,1.97817,0.80901,1.39003,0.49563,0.34481,0.29951,0.11679,2.16976,0.86846,1.40528,0.000643625,0.000643625,0.000643625
51,6679.4,1.96949,0.82122,1.38934,0.51663,0.36046,0.30669,0.12359,2.12842,0.84634,1.37949,0.00063125,0.00063125,0.00063125
52,6750.88,1.96999,0.84508,1.37739,0.48039,0.34917,0.30011,0.11841,2.15943,0.92799,1.39564,0.000618875,0.000618875,0.000618875
53,6824.13,1.99068,0.81719,1.39627,0.49148,0.35353,0.30759,0.12773,2.08555,0.85355,1.36301,0.0006065,0.0006065,0.0006065
54,6894.51,1.96186,0.82137,1.37966,0.49509,0.34805,0.29926,0.12346,2.10559,0.88775,1.36432,0.000594125,0.000594125,0.000594125
55,6970.24,1.95596,0.80954,1.37705,0.51212,0.35868,0.31668,0.13032,2.09142,0.84518,1.36944,0.00058175,0.00058175,0.00058175
56,7041.94,1.9594,0.80996,1.3734,0.49507,0.35582,0.30739,0.12674,2.10135,0.86469,1.37774,0.000569375,0.000569375,0.000569375
57,7111.85,1.98859,0.80323,1.36714,0.50053,0.35317,0.31254,0.12916,2.10867,0.86263,1.36465,0.000557,0.000557,0.000557
58,7194.34,1.97808,0.83084,1.38364,0.53523,0.36549,0.31905,0.13201,2.11606,0.85238,1.36602,0.000544625,0.000544625,0.000544625
59,7270.35,1.95141,0.79112,1.37248,0.49945,0.36761,0.32439,0.13346,2.10323,0.83547,1.37095,0.00053225,0.00053225,0.00053225
60,7338.77,1.93926,0.82011,1.36419,0.51152,0.36378,0.32668,0.13336,2.12153,0.8447,1.36514,0.000519875,0.000519875,0.000519875
61,7409.03,1.95939,0.78149,1.36659,0.49101,0.37087,0.32154,0.13328,2.12161,0.8616,1.36367,0.0005075,0.0005075,0.0005075
62,7499.22,1.9277,0.78995,1.35843,0.52697,0.37922,0.33096,0.13667,2.11461,0.84055,1.35881,0.000495125,0.000495125,0.000495125
63,7602.88,1.94629,0.79325,1.36965,0.51449,0.37025,0.32041,0.13557,2.08165,0.83702,1.35594,0.00048275,0.00048275,0.00048275
64,7903.92,1.94141,0.77356,1.36847,0.5116,0.36865,0.32159,0.13582,2.08911,0.83547,1.36744,0.000470375,0.000470375,0.000470375
65,8000.64,1.9375,0.80196,1.36136,0.53401,0.37001,0.33193,0.13824,2.09409,0.82444,1.36421,0.000458,0.000458,0.000458
66,8077.03,1.93085,0.8053,1.36533,0.5038,0.36931,0.32885,0.13208,2.16747,0.84144,1.38965,0.000445625,0.000445625,0.000445625
67,8149.57,1.92109,0.77845,1.35669,0.51681,0.37035,0.32848,0.13907,2.07413,0.84818,1.34468,0.00043325,0.00043325,0.00043325
68,8408.52,1.92718,0.79347,1.35624,0.51141,0.36406,0.31732,0.13112,2.14062,0.83585,1.37859,0.000420875,0.000420875,0.000420875
