epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6607,2.40009,2.77872,1.44204,0.18733,0.22669,0.09601,0.03522,2.16015,2.15767,1.41615,0.000415842,0.000415842,0.000415842
2,128.948,2.26627,2.1866,1.40699,0.2735,0.22908,0.14648,0.05399,2.17308,1.99692,1.397,0.000805035,0.000805035,0.000805035
3,195.529,2.24625,2.04493,1.39929,0.30063,0.25623,0.1498,0.05731,2.1514,1.93441,1.40927,0.00116673,0.00116673,0.00116673
4,262.966,2.2269,1.93802,1.39207,0.37782,0.28756,0.21193,0.08358,2.10154,1.82369,1.36234,0.00112625,0.00112625,0.00112625
5,329.067,2.20557,1.87141,1.37922,0.34187,0.27972,0.20829,0.08069,2.13238,1.76889,1.38092,0.001085,0.001085,0.001085
6,385.445,2.18003,1.83681,1.37389,0.36133,0.29093,0.22487,0.08972,2.0822,1.72005,1.36976,0.00104375,0.00104375,0.00104375
7,447.138,2.19042,1.81495,1.36713,0.34292,0.30697,0.22179,0.0878,2.07869,1.70899,1.33631,0.0010025,0.0010025,0.0010025
8,502.673,2.17936,1.76925,1.36454,0.41956,0.3106,0.24109,0.09987,2.06349,1.64471,1.35119,0.00096125,0.00096125,0.00096125
9,557.324,2.14225,1.7237,1.36022,0.44257,0.33562,0.26763,0.10943,2.06713,1.59433,1.35622,0.00092,0.00092,0.00092
10,615.73,2.13574,1.68177,1.34278,0.43706,0.33016,0.25169,0.10484,2.05845,1.62277,1.33273,0.00087875,0.00087875,0.00087875
11,671.867,2.13552,1.662,1.34493,0.3917,0.33514,0.25643,0.10638,2.04884,1.59523,1.32931,0.0008375,0.0008375,0.0008375
12,734.461,2.12292,1.6872,1.33978,0.48201,0.34127,0.27902,0.11835,2.01081,1.55408,1.31769,0.00079625,0.00079625,0.00079625
13,793.323,2.12403,1.65569,1.33351,0.44801,0.33042,0.26517,0.10977,2.02796,1.53956,1.30727,0.000755,0.000755,0.000755
14,847.805,2.106,1.61636,1.32761,0.46127,0.33495,0.27602,0.11815,2.00731,1.53107,1.31522,0.00071375,0.00071375,0.00071375
15,899.999,2.11565,1.60364,1.32797,0.48192,0.35516,0.29663,0.12463,2.0318,1.50224,1.31797,0.0006725,0.0006725,0.0006725
16,951.278,2.09177,1.58137,1.31527,0.45788,0.34777,0.28913,0.12273,2.01573,1.50172,1.30721,0.00063125,0.00063125,0.00063125
17,1010.25,2.08942,1.57447,1.31144,0.47804,0.35288,0.30422,0.12758,2.01774,1.49522,1.31611,0.00059,0.00059,0.00059
18,1067.48,2.07545,1.5461,1.30616,0.49096,0.35461,0.31188,0.13658,1.98864,1.4765,1.29331,0.00054875,0.00054875,0.00054875
19,1125.83,2.04868,1.54698,1.30744,0.51394,0.35992,0.31292,0.13597,1.98219,1.4783,1.28776,0.0005075,0.0005075,0.0005075
20,1214.3,2.05673,1.51528,1.30188,0.4835,0.35726,0.31112,0.1351,1.99335,1.48385,1.29656,0.00046625,0.00046625,0.00046625
21,1359.64,2.04985,1.64149,1.32652,0.50255,0.35314,0.30727,0.13314,2.00011,1.46735,1.29807,0.000425,0.000425,0.000425
22,1426.68,2.06514,1.6162,1.3183,0.48423,0.34568,0.30357,0.13085,2.01203,1.47857,1.30234,0.00038375,0.00038375,0.00038375
23,1485.15,2.0402,1.57302,1.31053,0.5087,0.35166,0.31342,0.13618,2.00505,1.46871,1.29707,0.0003425,0.0003425,0.0003425
24,1545.17,2.03577,1.55474,1.31436,0.48741,0.36261,0.32265,0.14174,1.9869,1.45891,1.29879,0.00030125,0.00030125,0.00030125
25,1600.42,2.03595,1.56039,1.31432,0.52883,0.35859,0.32452,0.14382,1.98971,1.43982,1.29646,0.00026,0.00026,0.00026
26,1657.12,1.99685,1.53202,1.29862,0.53766,0.35054,0.32077,0.14245,1.97294,1.45178,1.28966,0.00021875,0.00021875,0.00021875
27,1709.3,2.00387,1.52111,1.29442,0.52563,0.35037,0.31609,0.14082,1.96101,1.45966,1.27865,0.0001775,0.0001775,0.0001775
28,1761.21,2.01076,1.50255,1.29046,0.51278,0.35714,0.32703,0.14561,1.96629,1.44368,1.28313,0.00013625,0.00013625,0.00013625
29,1811.75,1.99663,1.4941,1.28352,0.52674,0.37642,0.32997,0.14926,1.95679,1.40338,1.27679,9.5e-05,9.5e-05,9.5e-05
30,1862.02,1.98322,1.49598,1.28829,0.51713,0.36655,0.32755,0.14724,1.95997,1.42336,1.27823,5.375e-05,5.375e-05,5.375e-05
